y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
116,2.4,1274,133,11.7,1041,150,1006,119,1610,994,16.9,34.3,0.6549
18,3.9,1510,233,19.3,1277,206,812,149,1910,1410,15.1,39.6,0.6766
140,3.7,1525,242,18.2,1246,202,821,145,1847,1448,14.4,43.4,0.7084
214,6.6,1843,488,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.7478
173,4.4,1598,333,20.1,1299,274,752,149,1941,1627,12.1,53.3,0.7536
364,3.5,1484,215,14.3,1127,253,839,139,1723,1491,11,59.1,0.774
268,5.4,1677,367,21.8,1346,300,741,134,2062,1657,9.7,64.6,0.7771
140,2.7,1280,122,9.6,964,193,963,113,1544,1285,9.5,64.1,0.7597
200,1.9,1196,67,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.7423
174,1.6,1184,43,5.4,782,83,1176,82,1365,1043,8.8,63.9,0.7256
88,1.7,1172,46,5.4,783,-200,1179,-200,1380,996,7.8,67.5,0.7173
120,-200,1147,56,6.2,821,109,1132,83,1412,992,7,71.1,0.7158
230,1,978,30,2.6,625,62,1420,65,1274,819,8.3,63.6,0.6982
265,1.2,1100,27,2.9,646,53,1406,60,1268,835,7.2,67.5,0.6887
15,1.5,1112,47,5.1,770,139,1228,77,1409,940,6.3,71.9,0.6932
342,2.7,1336,132,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945
268,3.7,1408,239,15.1,1153,295,830,119,1777,1411,9.6,59.7,0.7124
372,3.2,1447,160,12.9,1081,250,869,126,1667,1465,12.4,51.2,0.7335
86,4.1,1542,283,16.1,1184,296,808,158,1780,1583,15.6,42.2,0.7451
153,3.6,1451,210,14,1117,239,875,161,1679,1387,18.4,33.8,0.709
116,2.8,1328,154,12.3,1059,153,987,124,1600,1101,19.4,31.3,0.695
386,2,1207,112,8.6,924,118,1088,102,1488,850,18,34.8,0.7127
147,2,1240,108,9.2,947,119,1049,116,1532,947,18.4,33.6,0.7042
330,2.5,1306,111,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.7012
270,2.3,1326,97,10.6,1000,148,976,125,1602,1084,16.7,37.8,0.7117
126,3.2,1473,191,15.5,1163,227,831,148,1779,1395,16.1,41,0.7451
118,4.2,1609,258,19.6,1286,277,758,165,1922,1612,15.8,42.4,0.7569
150,4.2,1611,284,19.2,1274,279,754,161,1915,1697,15.7,44.1,0.7786
282,4.2,1621,269,18.3,1247,283,762,159,1860,1886,15.3,46.8,0.8091
71,3.1,1444,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.806
87,2.6,1418,116,10.9,1010,172,892,130,1603,1536,14.7,49.3,0.8193
363,2.9,1534,93,11,1013,190,889,129,1611,1535,13.9,53.6,0.8498
352,2.8,1484,131,11.9,1045,174,880,119,1624,1530,14.6,51.5,0.8536
172,2.5,1367,92,8.6,925,128,953,104,1543,1337,12.5,58.9,0.8537
349,2.4,1344,132,9.7,968,-200,921,-200,1620,1278,11.6,63.4,0.8674
271,-200,1130,56,5.2,773,70,1130,82,1452,1051,12.1,61.1,0.8603
198,1.2,1062,32,3.7,691,53,1272,70,1377,929,11.5,63.1,0.8533
328,1,1076,29,2.5,618,44,1395,63,1333,872,11.6,62.2,0.8473
128,0.9,1028,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853
262,1.4,1155,36,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853
378,1.6,1235,57,6.4,828,118,1055,83,1527,1093,12.4,60,0.8627
178,2.2,1332,129,8.6,923,144,952,98,1614,1225,14.5,53.1,0.8728
246,2.8,1445,148,10.9,1009,176,878,114,1696,1355,16.9,46.1,0.8789
47,2.8,1416,145,10.7,1002,161,907,119,1677,1262,19.3,38.3,0.8474
266,2,1281,93,7.5,880,113,1084,104,1525,980,21.2,31.4,0.7812
372,1.8,1207,84,7.5,879,103,1104,102,1490,872,21.4,30.2,0.7616
244,1.9,1258,99,8.2,906,112,1081,107,1511,900,21.9,29,0.7525
47,3,1458,150,11.9,1045,170,974,129,1646,1099,22.2,28.4,0.7516
17,2.9,1438,156,12,1051,180,943,128,1668,1206,21.3,30.8,0.7696
72,2.5,1478,122,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.8307
92,4.6,1808,262,20.6,1312,261,753,157,1993,1698,18.4,41.7,0.8732
387,5.9,1898,341,23.1,1381,325,681,173,2103,1905,17.6,46.1,0.921
267,3.4,1560,214,14.7,1140,217,784,146,1818,1648,16.7,49.6,0.932
297,2.1,1324,100,9,940,146,924,121,1587,1423,16.3,51,0.9341
92,2.2,1349,79,8.8,933,152,933,119,1617,1349,14.7,55.9,0.9314
172,1.8,1239,66,7.4,872,104,985,99,1547,1250,14.8,54.7,0.9164
127,1.8,1239,73,6.9,853,106,1010,93,1543,1174,14,57,0.9094
340,1.8,1224,66,7,855,108,998,88,1566,1149,13.4,61.3,0.9361
358,1.1,1078,44,4.4,734,-200,1128,-200,1487,1021,12.6,63.5,0.923
31,-200,1078,44,4,711,66,1150,71,1468,1013,12.3,65.4,0.9351
338,1,1075,39,3.9,703,88,1156,74,1464,1010,11.9,67.4,0.9375
159,1.4,1157,51,6.4,830,138,1030,80,1584,1083,11.4,70.5,0.9475
75,2.2,1314,107,9.7,966,228,897,89,1710,1235,11.3,70.2,0.9401
97,5.5,1797,336,25.9,1451,360,652,114,2323,1680,12.4,63.9,0.917
225,8.1,1961,618,36.7,1701,478,537,149,2665,2184,14.8,54.3,0.9076
130,5.8,1771,438,26.6,1470,394,622,157,2262,1973,17.4,45.6,0.8993
275,4.2,1564,334,20.1,1300,319,710,155,2029,1798,19.8,38.5,0.8801
147,3.1,1430,221,14.1,1120,201,831,134,1783,1522,22,34.1,0.8904
382,2.9,1417,207,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.9096
287,2.9,1400,191,15.4,1162,159,838,111,1829,1263,23.9,30,0.8757
34,2.5,1317,185,12.1,1053,153,926,104,1707,1137,24.4,28.9,0.8736
258,2.3,1318,141,11.5,1033,143,950,99,1675,1068,24.4,29.4,0.8848
323,2.8,1445,214,14.8,1141,156,857,110,1824,1252,23.8,31.3,0.9137
281,6.1,1917,471,32.1,1601,314,631,162,2447,1843,22.5,35.4,0.9547
239,8,2040,685,39.2,1754,404,542,187,2679,2122,20.4,42.5,1.0086
80,6.5,1895,538,31,1573,320,565,165,2443,1992,18.3,52.6,1.0945
144,4.2,1595,319,19.9,1294,256,678,145,2058,1707,16.7,57.4,1.0786
310,3.2,1439,224,15.3,1159,193,764,125,1856,1494,15.7,60.2,1.0654
369,1.4,1142,67,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058
230,2.1,1304,155,11.1,1019,127,852,103,1731,1272,14.1,65.7,1.0494
27,1.2,1074,49,5.4,784,79,1098,88,1483,1040,14.8,60.6,1.0148
234,0.8,968,29,2.8,640,43,1320,61,1386,867,14.8,59.2,0.9879
167,0.7,929,25,2.3,608,-200,1376,-200,1364,826,13.6,62.1,0.9636
66,-200,941,25,2.6,626,59,1316,59,1373,840,12.3,66.2,0.945
225,0.6,937,17,2,585,38,1412,52,1348,793,12.8,63.2,0.9283
261,0.9,1017,27,3.5,681,82,1246,64,1418,870,11.2,68.5,0.9081
268,1.3,1171,50,5.1,770,99,1162,70,1467,930,11,66.5,0.8705
286,3.4,1541,218,16.2,1185,263,770,97,1889,1407,11.7,63.7,0.8719
44,3.7,1539,285,19.7,1287,229,698,95,2055,1507,13.6,56.3,0.8743
311,5.3,1735,437,25.1,1431,396,628,150,2211,1843,17.8,42.9,0.8672
110,4.1,1571,327,20,1297,314,730,162,1973,1729,21.4,33.3,0.8417
79,3.3,1452,283,18.3,1250,217,776,154,1868,1583,24.4,27.4,0.8231
101,4,1579,366,22.3,1359,252,724,161,1998,1671,25.3,26.1,0.8264
104,3.8,1466,318,20.4,1309,263,773,161,1897,1491,25.8,23.2,0.7589
217,2.8,1280,228,14.6,1136,180,893,128,1675,1240,27,20.2,0.7094
11,2.9,1407,201,16.6,1197,184,905,129,1759,1313,28.2,18.6,0.7014
68,2.9,1389,199,15.8,1173,190,898,133,1739,1363,28,19.1,0.7098
283,3.4,1447,237,17.8,1235,184,859,139,1778,1296,23.9,25.7,0.7519
307,3.9,1551,261,19.1,1271,181,800,137,1875,1432,21.3,34.8,0.873
238,3.2,1474,230,15.8,1173,166,854,143,1776,1432,20.4,36.7,0.8704
355,5.1,1800,349,24.9,1426,317,700,177,2106,2034,19,41.3,0.9007
270,2.6,1379,183,13.5,1101,184,818,138,1710,1602,17.9,45.9,0.9342
99,1.7,1201,88,9.1,943,130,935,117,1560,1362,16.7,48.9,0.9226
317,1.7,1205,85,8.6,925,132,922,107,1547,1314,15.5,52.9,0.9271
336,1.2,1072,47,5.4,784,95,1066,90,1442,1114,15.5,51.9,0.9059
240,0.9,998,34,4.1,714,70,1169,79,1383,992,14.1,55.6,0.891
286,0.7,933,26,2.6,625,-200,1292,-200,1332,884,13.1,57.9,0.8666
275,-200,883,17,1.9,577,54,1396,60,1303,808,12.7,57.9,0.8447
146,0.5,869,11,1.6,554,28,1460,40,1268,667,11.8,58,0.8026
211,0.5,891,18,1.9,576,46,1417,53,1289,733,11.9,57.4,0.7978
336,1.6,1173,84,7.5,878,160,1038,84,1556,1052,9.9,65.2,0.7956
238,4.1,1587,260,21.4,1334,320,702,108,1999,1534,11.1,60.2,0.7958
165,6.6,1852,534,36.4,1696,377,553,127,2535,1931,14.1,50,0.802
351,4.3,1522,368,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.8048
258,2.9,1438,200,15.4,1161,221,819,135,1782,1595,21.1,33.4,0.8265
241,2.5,1393,145,12.5,1067,210,905,142,1654,1490,24.3,28.3,0.8471
17,2.8,1452,188,15.1,1152,204,861,153,1747,1508,25.6,25.6,0.8254
105,2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503
69,2,1207,103,10.4,994,135,1013,104,1520,1045,26.8,18.7,0.65
22,2.9,1365,193,15.2,1154,186,940,129,1679,1221,29.3,15.8,0.6309
255,2.5,1247,134,12.3,1060,147,1032,114,1525,1069,28.5,14.9,0.5708
359,5,1557,386,27,1478,299,793,158,1981,1569,25.9,16,0.5237
249,7.6,1973,577,38.4,1737,411,617,194,2414,2306,23.1,26.5,0.7403
313,6.7,1975,523,35.1,1667,347,597,182,2416,2359,20.5,38.2,0.9133
332,5.7,1795,472,27.2,1485,336,653,180,2174,2050,19.1,42.6,0.9294
275,2.8,1444,206,15,1150,202,770,136,1727,1727,17.2,44.1,0.8558
345,2.6,1488,216,15.7,1171,178,731,127,1778,1705,16,50.9,0.9206
321,2.3,1371,159,13,1083,154,796,116,1669,1551,14.8,53.9,0.9024
190,1.4,1161,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.8975
399,1,1064,44,5.5,787,61,1057,88,1407,1115,14.8,52.1,0.8686
263,0.7,970,42,3.6,687,-200,1196,-200,1351,969,13.9,53.9,0.8501
153,-200,954,28,2.9,645,60,1260,78,1334,925,11.6,61.9,0.8442
355,0.6,931,20,2.5,623,37,1293,57,1307,828,12,58.9,0.8233
169,0.7,938,26,3,650,68,1251,71,1333,893,10.9,62.1,0.8113
358,1.5,1166,78,7.7,885,139,1005,85,1551,1075,10.6,63.3,0.8067
152,4.7,1643,319,23.3,1384,339,667,124,2094,1610,11.5,60,0.8117
98,6.6,1934,506,35.8,1682,421,541,151,2468,2051,14.3,50.6,0.8186
266,4.5,1617,-200,21.3,1333,349,686,150,2010,1819,17.8,40.5,0.821
96,2.8,1473,-200,14.3,1127,224,831,152,1752,1568,20.8,34.4,0.8365
65,2.2,1379,-200,12.5,1068,171,899,139,1663,1374,23.8,28.2,0.8219
278,2.2,1385,-200,12.2,1056,149,891,133,1648,1268,24.2,28.7,0.8515
19,2.3,1379,-200,13.1,1087,137,901,126,1660,1144,25.2,24.9,0.7829
105,2.2,1322,-200,14.4,1129,149,934,128,1639,1109,27,17.8,0.6275
373,2.8,1496,-200,16.8,1205,172,822,169,1767,1347,27.1,23.1,0.818
64,2.7,1409,-200,14.5,1131,166,873,149,1689,1206,25.8,23.9,0.7832
213,3.7,1513,-200,21.5,1338,214,764,156,1957,1397,23,26.8,0.7446
247,5.1,1667,-200,26.4,1464,280,683,168,2118,1588,20.7,31.1,0.7523
197,5.1,1667,-200,26,1453,276,684,176,2051,1569,18.6,36.2,0.7676
46,3.2,1430,-200,14.1,1121,178,814,135,1732,1322,16,48.4,0.8768
133,2.1,1333,-200,10.3,989,129,885,121,1621,1194,14.5,57.8,0.9456
329,1.7,1262,-200,8.3,911,95,948,99,1545,1062,13.1,64.2,0.9606
232,2,1287,-200,8.9,936,126,918,106,1606,1040,12,69.7,0.9735
30,1.6,1134,-200,6.6,840,103,1021,96,1501,917,11.9,71.1,0.9915
287,0.9,999,-200,3.6,688,48,1229,63,1380,594,12.5,69.3,1.0029
213,0.7,961,-200,2.5,622,-200,1382,-200,1301,430,12.5,67.5,0.9768
387,-200,934,-200,1.8,569,20,1440,32,1280,397,12.3,67.7,0.9665
288,0.5,913,-200,1.3,525,18,1620,28,1260,370,12.5,66.8,0.962
387,0.7,969,-200,2.3,607,56,1373,61,1324,438,12.3,66.3,0.9487
16,1.5,1182,-200,6.7,845,115,1054,99,1539,704,12.4,64.9,0.9332
223,4.8,1740,-200,22.8,1372,320,671,157,2144,1476,13,61.6,0.9209
83,6.2,1819,-200,31.3,1582,357,575,166,2456,1716,13.6,58.8,0.912
325,4,1427,-200,19.2,1275,253,701,149,1980,1398,13.9,57.1,0.9032
158,3.3,1390,-200,16.4,1191,218,759,135,1879,1268,14.5,54.4,0.8917
28,2.8,1283,-200,14,1117,192,813,127,1751,1188,15.5,50.1,0.8744
195,3,1304,-200,15.3,1157,176,793,122,1801,1171,16.1,47.6,0.8655
205,3.3,1364,-200,16.7,1202,198,771,135,1875,1250,16.3,47.1,0.864
138,3.5,1410,-200,19,1268,212,724,139,1957,1344,16.4,47.5,0.8791
90,4,1476,-200,19.4,1280,249,708,147,1955,1378,16.1,50.2,0.9094
155,4.6,1522,-200,20.9,1320,270,690,158,2005,1435,16,50.7,0.9142
56,4.1,1442,-200,20.2,1301,231,704,146,1952,1372,15.8,50.3,0.8989
281,4.5,1469,-200,21.7,1344,251,677,144,1997,1471,15.5,50.6,0.884
75,3.9,1467,-200,19.8,1292,210,698,138,1942,1439,15.4,51.4,0.8956
356,4,1421,-200,16.7,1202,249,748,143,1854,1429,15.2,53.1,0.9117
107,2.2,1175,-200,9.1,945,143,904,116,1604,1081,14.7,57.6,0.9573
105,2.1,1215,-200,8.3,912,127,948,109,1547,993,14.2,58.3,0.938
81,1.7,1127,-200,5.8,802,104,1064,92,1447,837,13.8,57.9,0.9085
293,1.6,1090,-200,5.2,773,86,1105,83,1429,761,13.9,55.9,0.8842
168,1.3,1017,-200,4.1,718,74,1182,81,1382,650,13.9,55.6,0.8765
263,1.3,997,-200,3.4,677,-200,1252,-200,1359,591,13.8,55.1,0.8666
27,-200,945,-200,2.9,646,44,1308,55,1332,505,13.8,54.6,0.8574
181,0.8,956,-200,3.1,661,42,1260,53,1351,518,13.6,55.1,0.856
394,0.8,966,-200,2.5,622,63,1317,67,1342,571,13.6,59,0.9129
45,1.1,1064,-200,4.3,728,115,1161,91,1461,842,13.5,58.4,0.896
92,2.1,1300,-200,8.9,935,170,902,113,1623,1145,13.8,58,0.9083
277,2.4,1348,-200,10.5,998,147,834,102,1689,1218,14.6,53.1,0.8765
391,2.6,1425,-200,12.5,1068,166,776,107,1764,1341,15,52.3,0.8881
266,2.8,1474,-200,12.3,1061,195,768,113,1768,1406,15.4,52.1,0.9046
315,2.6,1490,-200,11.7,1039,182,782,108,1757,1422,16.3,50,0.9158
302,2.6,1495,-200,11.7,1040,168,809,105,1735,1373,17.1,47.9,0.9281
335,2.1,1376,-200,9.3,953,125,900,93,1636,1153,19,42.9,0.937
360,1.7,1305,-200,7.6,884,95,980,87,1573,927,19.5,42.3,0.9476
361,1.6,1283,-200,6.7,844,79,1036,76,1539,766,19.5,42.3,0.9493
215,2.1,1392,-200,9.7,967,119,930,94,1649,941,19.1,43.8,0.9556
253,2.3,1452,-200,12.4,1063,142,856,110,1774,1146,18.5,46.3,0.9744
331,3.5,1633,-200,16.6,1199,215,734,136,1919,1417,17.4,51.6,1.0159
234,3.9,1625,-200,16.4,1191,229,733,139,1885,1442,17.1,51.3,0.9914
361,3.3,1535,-200,13.7,1108,206,785,125,1820,1323,16.4,53.8,0.9964
211,2.3,1323,-200,9.9,973,147,864,111,1712,1125,16.2,55.4,1.0132
138,2.1,1309,-200,8.9,937,122,905,97,1672,1036,15.9,57.7,1.0356
213,2.8,1456,-200,10.6,999,175,835,107,1714,1202,15.7,58.6,1.0396
288,2.1,1300,-200,7.4,872,133,941,90,1577,1054,15.1,60.9,1.0398
390,1.6,1203,-200,6.2,823,89,1004,84,1526,903,15.6,56.6,0.9951
50,1.6,1195,-200,6.5,836,-200,987,-200,1554,885,15.2,57.9,0.9941
247,-200,1117,-200,5.8,802,85,1029,87,1539,818,15.4,57.8,1.0021
38,1.1,1062,-200,4,711,55,1136,66,1461,700,14.9,60.6,1.0196
159,0.7,947,-200,2.1,594,24,1300,36,1390,580,14.5,63,1.0316
137,0.8,1065,-200,3.6,687,72,1143,62,1492,815,14.2,66.2,1.063
293,1.2,1155,-200,4.4,734,122,1062,91,1528,1035,14.5,65.3,1.0704
63,1.4,1220,-200,5.4,782,111,996,89,1560,1067,15.3,62.1,1.073
167,1.7,1301,-200,7.1,862,123,914,93,1633,1114,16.3,59,1.0868
362,1.8,1279,-200,7.3,870,106,911,81,1646,1000,18.9,49.6,1.07
236,1.8,1267,-200,7.6,883,103,953,82,1617,906,19.4,46.1,1.0249
239,1.9,1239,-200,6.8,848,102,981,80,1568,822,20.8,41.6,1.0091
334,1.3,1128,-200,4.6,742,48,1144,48,1507,610,21.4,40.3,1.0126
315,1.6,1243,-200,8.4,916,63,962,61,1669,657,21.2,39.3,0.9791
303,1.9,1208,-200,6.9,853,98,1060,89,1506,647,20.3,38,0.8942
164,2.3,1306,-200,9,938,132,961,105,1607,762,19.4,41.3,0.9206
280,3.8,1546,-200,15.1,1151,173,769,116,1874,1122,18.5,43.8,0.9252
270,3.5,1501,-200,12.6,1071,185,823,119,1744,1130,17.8,48.1,0.9689
65,4.3,1605,-200,15.1,1153,266,769,144,1840,1637,17.9,46.9,0.952
400,2.8,1316,-200,9.9,974,188,883,123,1673,1272,17.4,49.1,0.9688
155,1.9,1195,-200,8,898,122,933,105,1594,1098,17,51.7,0.9914
42,1.9,1211,-200,7.9,896,112,920,93,1624,1066,16.4,55.1,1.0198
353,1.7,1161,-200,6.1,815,93,995,86,1582,909,16.1,60,1.0919
192,1.5,1095,-200,5.1,767,74,1050,76,1547,818,15.8,60.5,1.0805
51,0.6,897,-200,1.7,563,23,1417,33,1355,472,16.3,57,1.0491
200,0.4,842,-200,0.7,468,-200,1813,-200,1274,394,16.9,53.9,1.0309
160,-200,854,-200,0.8,481,17,1756,27,1304,396,16.1,55.9,1.0153
257,0.3,845,-200,0.7,472,15,1786,23,1278,378,16.5,53.9,1.0049
236,0.6,942,-200,2,586,41,1480,46,1373,432,16.4,54,0.9979
205,1.2,1090,-200,5.1,768,86,1072,76,1538,699,15.7,57.6,1.0195
36,3.6,1514,-200,17.7,1230,226,732,116,1996,1252,15.8,53.7,0.9571
213,3.7,1379,-200,18.4,1252,214,711,115,1962,1237,17.4,42.1,0.8281
53,1.8,1074,-200,6.9,854,115,1032,83,1484,772,17.9,38.4,0.7793
66,1.6,1090,-200,7.3,868,124,1026,87,1509,766,18.5,36.7,0.7764
270,1.9,1110,-200,9.6,964,122,947,90,1577,829,21,29.6,0.7263
330,2,1102,-200,10.4,994,107,955,87,1599,783,21.3,28.1,0.7067
384,2.2,1100,-200,11.2,1021,133,952,99,1607,822,21.3,26.1,0.6539
336,2.1,1094,-200,10.7,1003,130,965,99,1574,813,21.3,26.8,0.6681
383,2.3,1076,451,11.6,1034,150,964,101,1544,813,21.3,24.2,0.606
374,2.6,1152,185,12.4,1062,138,928,103,1606,850,20.2,28.5,0.6682
126,3.8,1407,426,18.3,1249,213,720,129,1932,1276,17,43.1,0.8264
88,4.4,1438,672,21,1325,232,678,143,1993,1401,15.6,47.4,0.8347
13,4.5,1425,624,21,1325,238,678,146,1965,1356,15.3,47.4,0.8178
202,3.3,1279,325,14.5,1131,180,775,124,1758,1243,14.5,49.7,0.8177
215,2,1132,143,8.4,916,128,920,113,1561,1083,13.9,52,0.8231
351,1.1,1006,89,4.3,729,65,1142,80,1370,795,14.5,49.4,0.8106
38,0.9,982,73,3.8,700,53,1204,72,1359,735,13.8,51.4,0.8071
79,0.8,969,48,2.7,636,47,1271,64,1309,684,14,51.3,0.8163
261,0.7,941,47,2.5,621,51,1298,70,1330,714,13,56.8,0.8444
70,0.5,892,36,1.2,522,-200,1522,-200,1285,456,11,70,0.9215
160,-200,855,25,0.8,478,20,1701,31,1261,401,10.1,76.8,0.9483
384,0.3,834,19,0.6,459,13,1908,22,1212,361,8.8,80.5,0.9147
383,0.5,909,26,1.8,567,33,1542,47,1287,418,9.6,75.4,0.9004
147,1.1,1061,60,4.6,745,103,1178,88,1429,616,9.8,75,0.9093
256,3,1441,248,14.2,1124,224,851,130,1829,1089,10,74.2,0.9117
233,3.8,1498,535,21,1325,244,684,132,2095,1329,11.2,69.7,0.9232
19,3.4,1343,340,16.2,1185,237,760,132,1857,1311,12,62.9,0.8803
106,3,1308,325,15.5,1166,220,792,131,1794,1236,12.8,55.8,0.821
126,2.7,1209,267,13.4,1097,207,837,129,1746,1147,13.1,54.8,0.8234
38,3.5,1310,325,16.9,1207,208,770,132,1847,1301,13.8,53.4,0.8351
322,2.8,1171,268,12.4,1064,160,881,110,1639,1097,16,42.4,0.7674
97,1.9,1112,136,10.1,980,131,924,99,1589,900,14.1,49.8,0.7971
290,2,1132,118,8.7,927,128,944,100,1570,781,12,61.1,0.8537
191,3,1225,276,13.8,1111,176,818,122,1719,1013,13.6,54.6,0.8465
321,1.9,1065,151,9.3,953,107,962,97,1514,790,13.7,49.5,0.7695
22,2.7,1236,236,13,1084,131,854,112,1688,1059,11.7,57.1,0.7822
104,3.3,1309,220,14.3,1126,166,812,128,1722,1205,11.5,58.2,0.7867
341,1.7,1089,87,7.6,884,89,1006,101,1487,975,12.6,54.2,0.7881
226,1.3,1000,81,5.3,776,81,1141,96,1375,896,12,54.9,0.7664
335,1.3,1041,74,5.4,782,78,1105,86,1425,911,11,61.4,0.8057
77,1.2,1045,55,4.9,756,70,1137,85,1411,902,11.1,62.2,0.8199
315,1.1,997,74,4.6,744,76,1151,79,1405,832,10.8,62.5,0.8082
253,0.9,948,35,2.7,634,43,1320,61,1326,715,11.3,60,0.8025
254,0.6,878,29,1.6,551,-200,1493,-200,1272,683,10.6,61.6,0.7856
37,-200,908,29,1.7,559,44,1477,66,1287,721,10.2,62.7,0.7813
145,0.6,892,20,1.2,522,34,1572,54,1255,648,10.9,58.6,0.7628
273,0.8,954,32,1.7,561,43,1496,57,1255,612,10.8,57.2,0.7382
37,1.2,1045,84,4.8,751,79,1186,75,1403,800,10.4,59.2,0.7455
338,3.1,1383,245,13.8,1109,174,832,97,1706,1173,11,57.3,0.7501
100,4.4,1597,553,23.7,1395,235,652,110,2080,1519,11.2,56.9,0.7565
224,3.4,1318,450,14.2,1124,218,762,113,1770,1287,12.1,54.9,0.7734
394,1.7,1138,118,8,898,136,950,88,1505,966,15.1,44.3,0.7535
373,1.5,1098,118,6.7,842,117,1012,85,1440,828,15.6,40.6,0.7146
294,1.7,1118,144,8.7,927,119,959,96,1477,825,16.9,34.6,0.6597
